"Date","PaperID","Dead","Alive","TotalMos","ExposureDay","Month","RawMortProp"
"19/07/23",14,7,18,25,5,"July",0.28
"19/07/23",15,10,16,26,5,"July",0.384615384615385
"19/07/23",16,13,11,24,5,"July",0.541666666666667
"19/07/23",17,11,14,25,5,"July",0.44
"19/07/23",18,8,16,24,5,"July",0.333333333333333
"19/07/23",19,9,16,25,5,"July",0.36
"19/07/23",15,11,14,25,5,"July",0.44
"19/07/23",16,14,12,26,5,"July",0.538461538461538
"19/07/23",17,18,6,24,5,"July",0.75
"19/07/23",18,16,8,24,5,"July",0.666666666666667
"18/09/23",2,13,13,26,1,"September",0.5
"18/09/23",3,17,9,26,1,"September",0.653846153846154
"18/09/23",4,20,6,26,1,"September",0.769230769230769
"18/09/23",5,22,4,26,1,"September",0.846153846153846
"18/09/23",6,19,6,25,1,"September",0.76
"18/09/23",7,20,5,25,1,"September",0.8
"18/09/23",8,21,5,26,1,"September",0.807692307692308
"18/09/23",9,19,5,24,1,"September",0.791666666666667
"18/09/23",10,18,7,25,1,"September",0.72
"18/09/23",11,19,6,25,1,"September",0.76
"18/09/23",12,19,2,21,1,"September",0.904761904761905
"18/09/23",13,18,7,25,1,"September",0.72
"18/09/23",14,25,1,26,1,"September",0.961538461538462
"18/09/23",15,17,8,25,1,"September",0.68
"18/09/23",16,24,2,26,1,"September",0.923076923076923
"18/09/23",17,18,5,23,1,"September",0.782608695652174
"18/09/23",18,20,7,27,1,"September",0.740740740740741
"18/09/23",19,27,1,28,1,"September",0.964285714285714
"18/09/23",20,17,8,25,1,"September",0.68
"18/09/23",21,24,1,25,1,"September",0.96
"18/09/23",22,20,3,23,1,"September",0.869565217391304
"18/09/23",23,20,4,24,1,"September",0.833333333333333
"18/09/23",24,20,4,24,1,"September",0.833333333333333
"18/09/23",25,20,6,26,1,"September",0.769230769230769
"19/09/23",3,11,16,27,2,"September",0.407407407407407
"19/09/23",4,16,4,20,2,"September",0.8
"19/09/23",5,9,11,20,2,"September",0.45
"19/09/23",6,12,13,25,2,"September",0.48
"19/09/23",7,16,8,24,2,"September",0.666666666666667
"19/09/23",8,14,11,25,2,"September",0.56
"19/09/23",9,11,16,27,2,"September",0.407407407407407
"19/09/23",10,11,14,25,2,"September",0.44
"19/09/23",11,16,9,25,2,"September",0.64
"19/09/23",12,19,4,23,2,"September",0.826086956521739
"19/09/23",13,13,12,25,2,"September",0.52
